filename,blue_percentage,black_percentage
933.webp,0.0368,89.9218
934.webp,0.0120,89.9240
935.webp,0.0263,89.9251
936.webp,0.0086,90.0385
937.webp,0.0093,89.9228
938.webp,0.0084,89.9352
939.webp,0.0239,89.9210
94.webp,0.0181,89.9230
940.webp,0.0083,89.9327
941.webp,0.0288,89.9213
942.webp,0.7724,90.1478
943.webp,0.0079,90.0355
944.webp,0.0098,89.9195
945.webp,0.0310,89.9209
946.webp,0.4898,90.0425
947.webp,0.0107,89.9229
948.webp,1.7181,89.9139
949.webp,0.0138,90.0382
95.webp,0.0164,89.9264
950.webp,0.0221,89.9200
951.webp,0.3850,90.0323
952.webp,0.0105,89.9198
953.webp,0.4751,90.0357
954.webp,0.0406,89.9166
955.webp,0.0128,89.9245
956.webp,0.0204,89.9221
957.webp,0.0248,89.9216
958.webp,0.0365,89.9199
959.webp,0.0221,90.0355
96.webp,1.7923,90.0325
960.webp,0.0070,89.9240
961.webp,0.0082,89.9315
962.webp,0.0160,89.9222
963.webp,0.0211,89.9198
965.webp,0.0393,89.9148
966.webp,0.0297,89.9201
967.webp,0.0386,89.9173
968.webp,0.0062,90.0386
969.webp,0.0107,89.9253
97.webp,0.0222,89.9192
970.webp,0.3280,89.9179
971.webp,0.0076,89.9369
972.webp,0.0184,89.9210
973.webp,0.0202,89.9210
974.webp,0.0166,89.9190
975.webp,0.0119,89.9237
976.webp,0.0607,89.9161
977.webp,0.0068,89.9355
978.webp,0.0075,89.9310
979.webp,0.0176,89.9179
98.webp,0.0137,89.9212
980.webp,0.0189,90.0431
981.webp,0.0331,90.0336
982.webp,0.0080,89.9207
983.webp,0.0279,90.0377
984.webp,0.0199,89.9215
985.webp,0.0086,89.9242
986.webp,0.0071,90.0528
987.webp,0.0118,89.9186
988.webp,0.0226,89.9209
989.webp,0.0077,89.9273
99.webp,0.0065,89.9238
990.webp,2.0438,89.9139
991.webp,0.0082,89.9349
992.webp,0.0310,89.9151
993.webp,0.0284,89.9204
994.webp,0.0207,90.0353
995.webp,0.0285,89.9186
996.webp,0.0275,89.9179
997.webp,0.0079,89.9266
998.webp,0.7694,89.9192
999.webp,0.0366,89.9184
