filename,blue_percentage,black_percentage
29.webp,0.0073,89.9264
290.webp,0.0063,90.0540
291.webp,0.0081,90.0480
292.webp,0.0196,90.0359
293.webp,0.0103,89.9271
294.webp,0.0110,89.9391
295.webp,0.0095,89.9340
296.webp,0.0220,90.1545
297.webp,2.1518,90.1473
298.webp,0.0270,89.9258
299.webp,0.0091,89.9195
3.webp,0.0089,89.9209
30.webp,0.0159,90.1588
300.webp,0.0120,89.9220
301.webp,0.0323,89.9193
302.webp,0.0119,89.9228
303.webp,0.0190,90.1573
304.webp,0.0127,89.9279
305.webp,0.0089,89.9371
306.webp,0.0139,89.9242
307.webp,0.0060,89.9362
308.webp,2.3393,89.9188
309.webp,0.0092,89.9297
31.webp,0.0063,89.9319
310.webp,0.0075,89.9346
311.webp,0.0067,89.9239
312.webp,0.0259,89.9214
313.webp,0.0183,90.0369
314.webp,0.0191,89.9205
315.webp,0.0311,89.9185
316.webp,0.0782,89.9234
317.webp,0.0202,89.9248
318.webp,0.0191,89.9209
319.webp,0.0158,90.0459
32.webp,0.0368,89.9215
320.webp,0.0100,89.9221
321.webp,1.6104,90.1548
322.webp,0.0123,90.0369
323.webp,0.0238,89.9168
324.webp,1.5652,90.1537
325.webp,0.0127,89.9274
326.webp,0.0182,89.9213
327.webp,0.0156,89.9238
328.webp,0.0285,89.9220
329.webp,0.0226,90.0371
33.webp,0.0058,89.9282
330.webp,0.0150,89.9224
331.webp,0.0224,89.9204
332.webp,0.2777,89.9188
333.webp,0.0095,89.9315
334.webp,0.0279,90.1509
335.webp,0.0174,89.9221
336.webp,0.0208,89.9210
337.webp,0.0221,90.0369
338.webp,0.6258,89.9157
339.webp,0.0069,89.9280
34.webp,0.0103,89.9277
340.webp,0.0093,89.9250
341.webp,2.1315,89.9151
342.webp,0.0232,89.9223
343.webp,0.0091,89.9259
344.webp,0.0973,90.0403
345.webp,0.0169,89.9215
346.webp,0.0427,89.9184
347.webp,2.1184,90.0408
348.webp,0.0170,89.9146
349.webp,0.0311,89.9174
35.webp,0.0116,89.9257
350.webp,0.0161,90.1553
351.webp,0.0119,90.0393
352.webp,0.0285,89.9210
353.webp,0.0304,89.9223
354.webp,0.5962,90.0341
355.webp,0.0352,89.9212
356.webp,0.8494,89.9169
357.webp,0.0267,89.9209
358.webp,0.0106,89.9279
359.webp,0.0189,90.1519
36.webp,0.0076,89.9274
360.webp,0.0380,89.9184
361.webp,0.0308,89.9208
362.webp,0.0249,89.9231
363.webp,0.0076,89.9249
364.webp,0.5545,89.9132
365.webp,0.3058,89.9168
366.webp,0.0176,89.9201
367.webp,0.0267,90.1535
368.webp,0.0321,89.9171
369.webp,0.0217,89.9173
37.webp,0.0134,89.9219
370.webp,1.1757,90.0324
371.webp,0.0093,89.9237
372.webp,0.0208,90.0375
373.webp,0.0168,89.9166
374.webp,0.0203,89.9231
375.webp,0.2794,89.9134
376.webp,0.0275,89.9215
377.webp,0.0140,90.1546
378.webp,0.0331,89.9182
379.webp,0.0321,89.9297
38.webp,0.0295,89.9247
380.webp,0.0093,89.9396
381.webp,0.0196,89.9214
382.webp,0.0318,89.9196
383.webp,0.0290,89.9185
384.webp,0.0084,89.9298
385.webp,0.0336,89.9199
386.webp,0.4480,90.0307
387.webp,0.0224,89.9222
388.webp,0.0188,89.9198
389.webp,0.0219,89.9216
39.webp,0.0193,89.9184
390.webp,0.0064,89.9261
391.webp,0.0307,89.9168
392.webp,0.0275,89.9206
393.webp,0.0148,89.9277
394.webp,0.0100,90.1538
395.webp,0.0065,89.9252
396.webp,0.0267,89.9177
397.webp,0.0190,89.9200
398.webp,0.0338,89.9189
399.webp,0.0204,90.0363
4.webp,0.0235,89.9222
40.webp,0.0080,89.9217
400.webp,0.0064,89.9284
401.webp,0.0448,89.9164
402.webp,0.1565,89.9154
403.webp,0.0358,89.9218
404.webp,0.0080,90.0466
405.webp,0.0149,89.9196
406.webp,1.2613,90.0303
407.webp,0.0416,89.9233
408.webp,0.0170,89.9255
409.webp,0.0264,89.9216
41.webp,0.0199,89.9225
410.webp,0.1521,89.9204
411.webp,0.0063,89.9304
412.webp,0.0249,89.9271
413.webp,0.0085,90.0397
414.webp,0.0084,89.9369
415.webp,0.0313,89.9235
416.webp,0.0234,89.9253
417.webp,0.0216,89.9190
418.webp,0.0158,89.9180
419.webp,0.0099,89.9241
42.webp,0.0154,89.9167
420.webp,0.0238,89.9224
421.webp,0.0067,89.9326
422.webp,0.0235,89.9223
423.webp,0.0108,89.9208
424.webp,0.0203,89.9242
425.webp,0.0327,89.9188
426.webp,1.5027,89.9151
427.webp,0.0162,89.9195
428.webp,0.0182,89.9200
429.webp,0.0236,89.9178
43.webp,0.0090,89.9266
430.webp,0.2916,89.9157
431.webp,0.0314,89.9231
432.webp,0.0273,89.9210
433.webp,0.2586,89.9221
434.webp,0.0108,89.9212
435.webp,0.0193,89.9164
436.webp,0.0085,89.9318
437.webp,0.0103,89.9214
438.webp,0.0147,90.0384
439.webp,0.0114,89.9336
44.webp,0.0574,89.9153
440.webp,0.1292,89.9180
441.webp,0.3555,90.0320
442.webp,0.0316,89.9211
443.webp,0.0355,89.9215
444.webp,0.0083,89.9335
445.webp,0.0193,89.9198
446.webp,0.0092,89.9275
447.webp,0.0369,90.0413
448.webp,0.0227,89.9279
449.webp,0.0203,90.1572
45.webp,0.0329,89.9220
450.webp,0.0231,90.0358
451.webp,0.0073,89.9256
452.webp,0.0181,89.9226
453.webp,0.0111,90.1524
454.webp,0.0305,90.0345
455.webp,0.0081,89.9279
456.webp,0.0300,89.9149
457.webp,0.0270,89.9210
458.webp,0.0068,89.9290
459.webp,0.0271,89.9187
46.webp,0.0171,89.9203
460.webp,0.0072,89.9225
461.webp,2.2923,90.1521
462.webp,0.0208,89.9204
463.webp,0.0059,89.9250
464.webp,0.0180,89.9161
465.webp,0.0258,89.9239
466.webp,0.0242,90.0342
467.webp,0.0269,89.9213
468.webp,0.0289,89.9201
469.webp,0.0139,89.9336
47.webp,0.0118,90.1513
470.webp,0.0223,89.9236
471.webp,0.0110,89.9222
472.webp,0.0105,89.9296
473.webp,0.0319,89.9243
474.webp,0.0162,90.1596
475.webp,0.0138,89.9246
476.webp,0.0175,90.1569
477.webp,0.0224,90.0394
478.webp,0.0183,89.9221
479.webp,0.0174,89.9233
48.webp,1.4633,90.1522
480.webp,0.0347,89.9207
481.webp,0.2014,90.0326
482.webp,1.6946,90.0384
483.webp,0.2629,89.9150
484.webp,0.0386,89.9182
485.webp,0.0233,90.1516
486.webp,0.0089,89.9303
487.webp,0.0077,89.9264
488.webp,0.0216,89.9251
489.webp,0.0193,89.9194
49.webp,0.0243,89.9253
490.webp,2.6891,89.9157
491.webp,0.0172,90.0342
492.webp,0.0291,89.9216
493.webp,0.0261,90.0349
494.webp,0.0269,89.9218
495.webp,0.0242,90.0388
496.webp,0.0086,90.0499
497.webp,0.0301,89.9177
498.webp,0.0096,89.9272
499.webp,0.0270,89.9184
5.webp,0.0114,89.9266
50.webp,0.0245,89.9232
500.webp,0.0214,89.9225
501.webp,0.0198,89.9247
502.webp,0.0243,89.9172
503.webp,0.2939,89.9137
504.webp,0.0303,89.9283
505.webp,0.0166,89.9190
506.webp,0.0160,89.9211
507.webp,0.0281,89.9169
508.webp,0.0290,89.9232
509.webp,0.0074,89.9236
51.webp,0.0079,89.9335
510.webp,0.0698,90.0333
511.webp,0.0354,89.9251
512.webp,0.0196,89.9221
513.webp,0.0352,89.9212
514.webp,0.0230,89.9197
515.webp,0.0149,90.0386
516.webp,0.0155,89.9249
517.webp,2.2184,90.0299
518.webp,0.0225,89.9184
519.webp,0.0248,90.0381
52.webp,0.0287,89.9222
520.webp,0.0165,89.9189
521.webp,0.0365,90.0346
522.webp,0.0390,89.9169
523.webp,0.0261,89.9220
524.webp,0.1373,89.9165
525.webp,0.0855,89.9152
526.webp,0.0328,89.9161
527.webp,0.0200,89.9270
528.webp,0.0072,89.9289
529.webp,0.0073,89.9276
53.webp,0.1171,90.0332
530.webp,2.3070,89.9171
531.webp,0.0196,89.9279
532.webp,0.0142,89.9206
533.webp,0.0205,90.0373
534.webp,0.0333,89.9193
535.webp,0.0063,89.9340
536.webp,0.0407,90.0350
537.webp,0.8953,89.9151
538.webp,0.0151,89.9237
539.webp,0.0206,89.9227
54.webp,0.0093,89.9343
540.webp,0.0159,89.9222
541.webp,0.0325,89.9209
542.webp,1.2095,90.0334
543.webp,0.0170,89.9230
544.webp,0.0317,89.9217
545.webp,0.0328,89.9165
546.webp,0.0269,89.9205
547.webp,0.0171,90.1525
548.webp,0.0072,89.9397
549.webp,0.0068,90.1550
55.webp,0.0222,89.9229
550.webp,0.0086,90.1613
551.webp,0.0204,89.9166
552.webp,0.0090,89.9370
553.webp,0.0173,89.9139
554.webp,0.0240,89.9234
555.webp,0.0304,89.9182
556.webp,0.0191,89.9202
557.webp,0.0481,89.9165
558.webp,0.0122,89.9265
559.webp,0.0181,89.9155
56.webp,0.0241,89.9168
560.webp,0.0159,89.9243
561.webp,0.0083,89.9314
562.webp,0.0599,89.9159
563.webp,0.0191,90.0353
564.webp,0.0263,89.9207
565.webp,0.0100,89.9264
566.webp,0.0167,89.9209
567.webp,1.9008,89.9140
568.webp,0.0267,89.9194
569.webp,0.0214,90.1578
57.webp,0.0216,89.9208
570.webp,0.0234,90.0369
571.webp,0.0205,89.9175
572.webp,0.0075,89.9231
573.webp,0.0156,89.9210
574.webp,0.0144,89.9251
575.webp,0.0089,90.0443
576.webp,0.0181,90.0408
577.webp,0.0186,90.0391
578.webp,0.0300,89.9268
579.webp,0.0225,89.9234
58.webp,0.0188,89.9194
580.webp,0.0175,89.9217
581.webp,0.0342,89.9160
582.webp,0.0078,89.9326
583.webp,0.0187,89.9240
584.webp,0.0108,89.9226
585.webp,0.0140,89.9269
586.webp,0.0116,90.1534
587.webp,1.5083,90.1496
588.webp,0.0114,89.9359
589.webp,0.0193,90.1552
59.webp,0.0230,89.9240
590.webp,0.0152,89.9171
591.webp,0.0909,89.9197
592.webp,0.5550,89.9138
593.webp,0.0077,89.9339
594.webp,0.0267,89.9215
595.webp,0.0221,89.9191
596.webp,0.0163,89.9178
597.webp,0.0387,89.9164
598.webp,0.0065,89.9283
599.webp,0.0100,89.9199
6.webp,0.0115,90.0384
60.webp,0.0076,89.9385
600.webp,0.0229,90.0329
601.webp,0.0073,89.9364
602.webp,0.0082,90.1553
603.webp,0.0247,90.0361
604.webp,0.0265,89.9207
605.webp,0.0077,90.1619
606.webp,0.0072,89.9352
607.webp,0.2396,90.0309
608.webp,0.0133,89.9189
609.webp,0.0105,89.9306
61.webp,0.0468,89.9159
610.webp,0.0325,89.9165
611.webp,0.4531,90.0389
612.webp,0.0083,89.9328
613.webp,0.0188,89.9209
614.webp,0.0067,89.9292
615.webp,0.0256,90.1514
616.webp,0.0143,89.9218
617.webp,0.0066,90.0531
618.webp,0.0241,90.0376
619.webp,0.0299,90.1537
62.webp,0.1127,89.9179
620.webp,0.0197,90.1565
621.webp,0.0131,89.9220
622.webp,0.0077,90.0507
623.webp,0.0180,89.9271
624.webp,0.0378,89.9187
625.webp,0.0422,89.9162
626.webp,0.0298,90.0320
627.webp,0.0084,90.0474
628.webp,0.0152,89.9227
